Age,Attrition,BusinessTravel,,Department,DistanceFromHome,EducationField,EmployeeNumber,Gender,HourlyRate,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,WorkLifeBalance rating ,YearsAtCompany,YearsSinceLastPromotion,satisfaction_level,salary,RetirementYear
56,0,Travel_Rarely,,Research & Development,23,Life Sciences,1373,Male,68,4,Manufacturing Director,2,Married,13402,1,12,3,33,3,19,15,11%,low,2005
38,0,Travel_Rarely,,Research & Development,10,Medical,2015,Female,99,3,Research Director,3,Married,13206,0,12,3,20,3,18,1,84%,low,2001
41,1,Travel_Rarely,,Research & Development,12,Technical Degree,58,Female,49,5,Research Director,3,Married,19545,0,12,3,23,3,22,15,41%,low,2010
55,0,Travel_Rarely,,Research & Development,14,Medical,254,Male,61,5,Research Director,2,Single,18722,0,11,3,36,3,24,2,36%,low,2016
40,0,Travel_Rarely,,Sales,2,Life Sciences,558,Female,79,5,Manager,3,Married,18041,0,14,3,21,3,20,1,38%,low,2020
58,1,Travel_Rarely,,Research & Development,2,Life Sciences,825,Male,31,5,Research Director,2,Single,19246,1,12,3,40,3,31,13,45%,low,2034
46,0,Travel_Rarely,,Sales,2,Marketing,1204,Female,69,4,Manager,1,Married,17048,0,23,4,28,3,26,15,78%,low,2010
35,0,Travel_Rarely,,Research & Development,18,Life Sciences,1621,Male,48,2,Research Scientist,1,Married,5208,0,11,3,16,3,16,1,45%,low,2039
40,0,Travel_Rarely,,Research & Development,15,Life Sciences,1628,Female,80,3,Manufacturing Director,3,Married,10435,0,13,3,18,3,18,14,76%,low,2009
45,0,Non-Travel,,Research & Development,1,Life Sciences,1712,Male,74,3,Healthcare Representative,3,Married,10748,0,23,4,25,2,23,14,11%,low,2001
33,0,Travel_Frequently,,Research & Development,1,Life Sciences,73,Female,98,3,Research Director,4,Single,13458,1,12,3,15,3,15,8,38%,low,2036
36,0,Travel_Rarely,,Research & Development,8,Technical Degree,83,Female,59,3,Healthcare Representative,3,Divorced,10096,0,13,3,17,3,17,12,9%,low,2001
47,0,Travel_Rarely,,Research & Development,2,Other,820,Female,33,4,Manager,4,Married,16752,1,11,3,26,2,26,3,46%,low,2031
36,0,Travel_Rarely,,Sales,1,Life Sciences,857,Male,56,2,Sales Executive,4,Married,6201,1,14,3,18,2,18,4,40%,low,2034
35,0,Travel_Rarely,,Research & Development,9,Life Sciences,880,Female,66,3,Manufacturing Director,3,Married,10685,1,20,4,17,3,17,5,89%,low,2024
52,1,Travel_Rarely,,Sales,2,Marketing,1038,Female,57,5,Manager,4,Married,19845,0,15,3,33,3,32,6,82%,low,2023
36,0,Travel_Rarely,,Research & Development,2,Life Sciences,1294,Female,53,2,Manufacturing Director,2,Single,5410,1,11,3,18,3,16,5,40%,low,2008
33,0,Travel_Rarely,,Research & Development,28,Life Sciences,1549,Male,79,2,Laboratory Technician,3,Married,5207,1,12,3,15,3,15,5,41%,low,2019
34,0,Non-Travel,,Sales,10,Life Sciences,1774,Male,87,2,Sales Executive,3,Divorced,4001,1,14,3,15,3,15,0,38%,low,2015
41,0,Travel_Rarely,,Sales,4,Marketing,1815,Female,81,3,Sales Executive,3,Divorced,10447,1,13,3,23,4,22,13,9%,low,2016
47,0,Travel_Rarely,,Research & Development,25,Medical,1993,Male,84,3,Healthcare Representative,3,Single,8633,0,23,4,25,3,17,12,45%,low,2013
53,0,Travel_Rarely,,Research & Development,5,Other,32,Female,58,5,Manager,3,Divorced,19094,0,11,3,26,2,14,4,40%,low,2003
35,0,Travel_Rarely,,Sales,1,Marketing,100,Male,32,2,Sales Executive,1,Single,4312,0,14,3,16,3,15,2,45%,low,2017
34,0,Travel_Rarely,,Research & Development,6,Other,138,Female,41,2,Research Scientist,3,Single,4809,0,14,3,16,3,16,2,84%,low,2014
46,0,Travel_Rarely,,Sales,1,Marketing,244,Female,92,3,Sales Executive,1,Divorced,10453,0,25,4,24,3,24,15,10%,low,2005
43,0,Travel_Rarely,,Sales,16,Marketing,327,Female,80,4,Manager,4,Married,16064,1,22,4,22,3,17,1,38%,low,2026
36,0,Travel_Rarely,,Research & Development,6,Life Sciences,373,Male,47,1,Laboratory Technician,4,Married,3210,0,11,3,16,3,15,10,45%,low,2015
60,0,Travel_Frequently,,Sales,28,Marketing,573,Female,80,3,Sales Executive,1,Married,10266,0,19,3,22,4,18,13,11%,low,2011
40,0,Travel_Frequently,,Sales,5,Life Sciences,729,Male,48,3,Sales Executive,1,Married,10475,1,21,4,20,3,18,1,41%,low,2033
32,0,Travel_Rarely,,Research & Development,4,Life Sciences,830,Female,98,2,Manufacturing Director,3,Married,6162,0,12,3,14,3,14,6,87%,low,2010
41,0,Travel_Rarely,,Research & Development,6,Medical,957,Male,59,1,Laboratory Technician,1,Single,4721,1,13,3,20,3,18,2,45%,low,2010
53,0,Travel_Rarely,,Sales,2,Medical,981,Male,45,4,Manager,3,Divorced,14852,0,13,3,22,4,17,15,40%,low,2029
36,1,Travel_Rarely,,Research & Development,16,Life Sciences,1042,Female,43,1,Laboratory Technician,1,Single,2743,0,16,3,18,3,17,15,10%,low,2024
46,0,Travel_Rarely,,Research & Development,8,Life Sciences,1080,Female,74,2,Research Scientist,1,Divorced,4615,1,23,4,19,3,16,1,9%,low,2019
38,0,Travel_Rarely,,Sales,1,Life Sciences,1995,Male,86,2,Sales Executive,2,Married,4440,0,15,3,16,3,15,5,84%,low,2001
51,0,Travel_Frequently,,Research & Development,1,Medical,145,Female,30,3,Healthcare Representative,1,Single,7484,0,20,4,23,2,13,12,40%,low,2008
43,0,Travel_Frequently,,Sales,26,Life Sciences,158,Male,92,4,Manager,4,Married,16959,1,12,3,25,4,25,4,57%,low,2022
37,0,Travel_Rarely,,Research & Development,1,Life Sciences,391,Female,42,1,Research Scientist,4,Single,2115,0,12,3,17,3,17,5,40%,low,2016
32,0,Travel_Rarely,,Sales,8,Technical Degree,436,Female,65,2,Sales Executive,2,Married,5228,1,11,3,13,3,13,11,43%,low,2003
38,0,Travel_Rarely,,Research & Development,1,Technical Degree,950,Female,80,3,Research Director,1,Married,13582,0,13,3,15,3,15,5,13%,low,2014
46,0,Travel_Rarely,,Sales,3,Life Sciences,1527,Female,51,4,Manager,2,Married,16606,0,12,3,23,4,13,5,44%,low,2029
35,1,Travel_Rarely,,Sales,10,Medical,1639,Male,55,3,Sales Executive,1,Married,10306,0,17,3,15,3,13,6,38%,low,2021
43,0,Travel_Rarely,,Research & Development,6,Medical,1866,Female,81,5,Manager,3,Married,19392,0,13,3,21,3,16,6,39%,low,2016
56,0,Non-Travel,,Research & Development,1,Life Sciences,2026,Male,57,2,Healthcare Representative,3,Divorced,6306,0,21,4,13,2,13,1,10%,low,2006
36,0,Non-Travel,,Sales,15,Marketing,2036,Male,88,2,Sales Executive,4,Divorced,5406,0,24,4,15,2,15,11,37%,low,2022
38,0,Non-Travel,,Research & Development,6,Medical,107,Female,79,2,Research Scientist,4,Divorced,5329,1,12,3,17,3,13,1,11%,low,2037
49,0,Travel_Rarely,,Research & Development,20,Medical,170,Female,96,2,Manufacturing Director,1,Married,6567,0,14,3,16,2,15,5,10%,low,2034
39,0,Travel_Rarely,,Sales,4,Life Sciences,182,Female,47,2,Sales Executive,3,Married,5902,0,14,3,17,4,15,5,38%,low,2040
40,0,Travel_Rarely,,Sales,4,Marketing,215,Male,67,3,Sales Executive,4,Married,10855,0,11,3,15,2,12,2,85%,low,2017
36,0,Travel_Rarely,,Research & Development,5,Life Sciences,304,Male,62,2,Laboratory Technician,2,Single,5914,0,16,3,16,4,13,3,85%,medium,2030
37,0,Non-Travel,,Research & Development,25,Medical,529,Female,72,2,Research Scientist,3,Married,4449,1,15,3,15,3,13,10,11%,medium,2014
35,0,Travel_Rarely,,Research & Development,6,Life Sciences,691,Male,82,2,Research Scientist,4,Single,6646,0,13,3,17,3,17,11,10%,medium,2024
33,0,Travel_Frequently,,Research & Development,6,Life Sciences,692,Male,30,2,Healthcare Representative,4,Divorced,7725,0,23,4,15,1,13,4,36%,medium,2006
50,0,Travel_Rarely,,Research & Development,24,Life Sciences,1005,Male,95,4,Manufacturing Director,3,Married,13973,1,18,3,22,3,12,1,11%,medium,2018
48,0,Travel_Rarely,,Research & Development,4,Life Sciences,1024,Male,78,3,Healthcare Representative,3,Single,10999,0,14,3,27,3,15,4,81%,medium,2009
44,0,Travel_Rarely,,Sales,28,Medical,1039,Female,53,4,Sales Executive,4,Married,13320,1,18,3,23,3,12,11,43%,medium,2039
44,0,Travel_Rarely,,Research & Development,29,Other,1225,Male,32,2,Research Scientist,4,Single,4541,0,25,4,20,3,20,13,90%,medium,2031
40,0,Travel_Rarely,,Research & Development,2,Medical,1375,Female,89,2,Healthcare Representative,3,Divorced,6377,0,20,4,15,3,12,11,76%,medium,2009
34,0,Travel_Rarely,,Research & Development,2,Technical Degree,1383,Female,98,2,Healthcare Representative,4,Single,6687,0,11,3,14,4,14,4,43%,medium,2022
35,0,Non-Travel,,Research & Development,8,Life Sciences,1630,Female,52,2,Healthcare Representative,3,Married,4148,0,12,3,15,3,14,2,74%,medium,2021
50,0,Travel_Rarely,,Research & Development,17,Life Sciences,1656,Female,50,3,Research Director,1,Divorced,13269,0,15,3,19,3,14,1,9%,medium,2001
49,0,Travel_Rarely,,Research & Development,6,Life Sciences,1661,Female,41,4,Healthcare Representative,3,Married,13966,1,19,3,30,3,15,2,45%,high,2033
38,0,Travel_Frequently,,Research & Development,1,Life Sciences,1668,Male,90,2,Research Scientist,4,Married,4735,0,15,3,19,4,13,2,9%,low,2038
33,0,Travel_Rarely,,Research & Development,21,Medical,1698,Male,79,1,Laboratory Technician,2,Married,2028,0,18,3,14,3,14,2,11%,medium,2007
47,0,Travel_Rarely,,Research & Development,4,Life Sciences,1827,Female,92,3,Manufacturing Director,2,Divorced,10333,1,12,3,28,3,22,14,11%,medium,2030
38,0,Travel_Frequently,,Research & Development,8,Medical,1937,Female,58,2,Research Scientist,2,Divorced,2133,1,16,3,20,3,20,0,10%,medium,2029
37,0,Travel_Rarely,,Research & Development,10,Life Sciences,2017,Female,42,3,Research Director,4,Married,13744,1,25,4,16,3,16,6,40%,medium,2033
30,0,Travel_Rarely,,Research & Development,2,Life Sciences,117,Male,99,2,Healthcare Representative,4,Married,4152,0,19,3,11,3,11,10,43%,low,2006
58,0,Travel_Rarely,,Sales,10,Medical,131,Male,37,4,Sales Executive,3,Single,13872,0,13,3,38,2,37,1,39%,low,2038
34,0,Travel_Rarely,,Research & Development,5,Medical,153,Female,45,3,Manager,1,Single,11631,0,12,3,14,3,11,5,45%,low,2028
58,1,Travel_Rarely,,Research & Development,23,Medical,165,Female,94,3,Healthcare Representative,4,Married,10312,0,12,3,40,2,40,15,38%,low,2015
38,0,Travel_Rarely,,Sales,3,Life Sciences,307,Male,76,3,Sales Executive,3,Divorced,10609,0,12,3,17,2,16,5,79%,low,2029
29,0,Travel_Frequently,,Sales,1,Medical,312,Female,42,3,Sales Executive,4,Married,7918,0,14,3,11,3,11,4,84%,low,2008
55,0,Travel_Rarely,,Research & Development,1,Medical,374,Male,81,5,Manager,1,Single,19045,1,14,3,37,3,36,4,11%,low,2007
41,0,Travel_Rarely,,Sales,2,Life Sciences,410,Male,88,4,Manager,2,Single,16015,0,19,3,22,3,22,0,11%,low,2026
39,0,Travel_Rarely,,Research & Development,1,Medical,417,Male,48,3,Healthcare Representative,4,Divorced,9613,0,17,3,19,2,18,3,17%,low,2001
38,0,Travel_Rarely,,Research & Development,15,Life Sciences,461,Male,92,3,Research Director,4,Divorced,11510,1,14,3,12,3,11,2,44%,low,2007
43,0,Travel_Rarely,,Research & Development,12,Life Sciences,520,Male,59,4,Research Director,2,Divorced,14336,0,11,3,25,3,25,3,37%,low,2023
31,0,Travel_Rarely,,Research & Development,7,Medical,524,Female,31,2,Manufacturing Director,1,Married,4306,0,12,3,13,1,13,3,10%,low,2003
50,0,Travel_Rarely,,Research & Development,29,Life Sciences,569,Male,88,4,Manager,3,Married,17046,0,15,3,28,3,27,15,40%,low,2038
35,0,Travel_Rarely,,Research & Development,25,Technical Degree,899,Male,78,3,Manufacturing Director,2,Married,10903,0,16,3,16,3,13,4,89%,low,2023
47,0,Travel_Frequently,,Research & Development,16,Medical,987,Male,64,2,Manufacturing Director,3,Divorced,5067,1,19,3,20,4,19,2,42%,low,2011
35,0,Travel_Rarely,,Research & Development,25,Medical,1014,Female,57,3,Healthcare Representative,3,Divorced,10388,1,11,3,16,2,16,10,46%,low,2008
40,0,Travel_Rarely,,Research & Development,20,Technical Degree,1092,Male,61,3,Healthcare Representative,4,Married,10322,0,20,4,14,3,11,11,9%,low,2003
45,0,Non-Travel,,Sales,9,Life Sciences,1117,Female,65,2,Sales Executive,3,Married,5593,0,13,3,15,3,15,4,37%,low,2036
33,0,Travel_Rarely,,Research & Development,9,Medical,1238,Male,60,1,Research Scientist,4,Married,2781,0,13,3,15,3,14,4,10%,low,2034
36,0,Travel_Frequently,,Research & Development,3,Technical Degree,1257,Male,46,1,Research Scientist,2,Married,3692,0,12,3,12,2,11,0,10%,low,2001
45,1,Travel_Rarely,,Sales,2,Marketing,1277,Female,94,5,Manager,2,Single,18824,1,16,3,26,3,24,1,11%,low,2009
51,0,Travel_Frequently,,Sales,9,Life Sciences,1282,Male,83,5,Manager,2,Divorced,19847,1,24,4,31,2,29,11,90%,medium,2016
34,0,Travel_Rarely,,Sales,7,Technical Degree,1541,Male,55,1,Sales Representative,3,Married,2308,1,25,4,12,3,11,5,38%,medium,2018
43,0,Travel_Rarely,,Research & Development,15,Life Sciences,1666,Male,65,4,Research Director,3,Married,17603,0,24,4,14,3,14,6,36%,medium,2002
34,0,Travel_Rarely,,Research & Development,5,Medical,1696,Male,57,2,Laboratory Technician,4,Married,3986,0,14,3,15,4,15,4,42%,medium,2027
38,0,Non-Travel,,Human Resources,2,Human Resources,1805,Male,100,1,Human Resources,2,Divorced,2592,0,13,3,13,3,11,3,9%,medium,2009
48,0,Travel_Rarely,,Research & Development,10,Life Sciences,1867,Male,91,5,Research Director,2,Married,19665,0,12,3,29,3,22,12,43%,medium,2029
34,0,Travel_Frequently,,Research & Development,22,Other,1932,Male,86,2,Research Scientist,4,Married,5747,1,15,3,16,3,15,6,24%,medium,2021
32,0,Travel_Rarely,,Sales,1,Marketing,2016,Female,48,3,Sales Executive,4,Married,10422,0,19,3,14,3,14,5,91%,medium,2006
29,0,Travel_Rarely,,Research & Development,21,Life Sciences,20,Female,51,3,Manufacturing Director,1,Divorced,9980,0,11,3,10,3,10,8,44%,medium,2018
46,0,Travel_Frequently,,Research & Development,1,Medical,124,Male,40,3,Healthcare Representative,1,Married,10673,1,13,3,21,2,10,9,71%,medium,2001
30,0,Travel_Rarely,,Human Resources,9,Human Resources,184,Male,48,2,Human Resources,4,Married,6347,1,19,3,12,1,11,4,40%,medium,2014
45,0,Travel_Rarely,,Research & Development,9,Life Sciences,206,Male,60,2,Laboratory Technician,2,Divorced,2348,0,18,3,20,1,17,0,43%,medium,2014
30,0,Travel_Rarely,,Sales,5,Life Sciences,228,Female,41,3,Sales Executive,4,Married,9419,0,12,3,12,3,10,7,9%,high,2026
30,0,Non-Travel,,Research & Development,9,Medical,239,Male,66,2,Laboratory Technician,1,Divorced,3072,0,11,3,12,3,12,6,43%,low,2023
34,0,Travel_Frequently,,Research & Development,2,Life Sciences,256,Male,45,2,Manufacturing Director,3,Married,9547,0,17,3,10,2,10,1,90%,medium,2005
51,0,Travel_Rarely,,Research & Development,8,Life Sciences,296,Male,81,3,Research Director,2,Married,12490,0,16,3,16,1,10,4,84%,medium,2018
34,0,Travel_Rarely,,Research & Development,2,Life Sciences,339,Male,84,2,Manufacturing Director,1,Married,5957,0,13,3,13,3,11,5,37%,medium,2016
35,0,Travel_Rarely,,Sales,16,Marketing,406,Male,96,3,Sales Executive,2,Married,8020,0,15,3,12,2,11,6,86%,medium,2029
45,0,Travel_Frequently,,Research & Development,7,Life Sciences,425,Male,97,3,Laboratory Technician,1,Divorced,5210,0,18,3,24,3,24,9,11%,low,2038
39,0,Travel_Rarely,,Research & Development,10,Medical,429,Male,99,4,Manager,1,Married,17068,1,14,3,21,3,21,11,37%,low,2028
31,0,Travel_Frequently,,Research & Development,7,Life Sciences,442,Female,48,3,Manufacturing Director,3,Married,8943,0,24,4,10,3,10,8,40%,low,2036
39,0,Travel_Frequently,,Research & Development,7,Medical,444,Male,54,5,Manager,4,Married,19272,0,15,3,21,3,21,13,14%,low,2005
45,0,Travel_Rarely,,Research & Development,8,Other,452,Male,75,2,Research Scientist,4,Married,3697,0,14,3,12,3,10,9,40%,low,2007
30,0,Travel_Rarely,,Sales,5,Marketing,456,Female,30,2,Sales Executive,3,Divorced,6118,0,13,3,10,3,10,1,75%,low,2021
31,0,Travel_Rarely,,Research & Development,7,Medical,462,Female,39,3,Manufacturing Director,4,Single,7143,1,14,3,11,2,11,4,11%,low,2032
36,0,Travel_Frequently,,Sales,3,Medical,481,Male,48,3,Sales Executive,4,Married,9699,0,11,3,16,3,13,1,46%,low,2014
36,0,Travel_Rarely,,Sales,2,Medical,513,Male,61,3,Sales Executive,3,Married,7596,0,13,3,10,3,10,9,11%,low,2004
55,0,Travel_Rarely,,Sales,18,Life Sciences,597,Female,83,4,Manager,2,Single,16835,0,23,4,37,3,10,7,38%,low,2025
35,0,Travel_Rarely,,Sales,1,Marketing,600,Male,85,2,Sales Executive,3,Married,4717,0,11,3,15,3,11,6,70%,low,2019
42,0,Travel_Rarely,,Research & Development,24,Medical,605,Male,56,3,Manufacturing Director,1,Married,7406,1,21,4,10,2,10,5,9%,low,2005
52,0,Travel_Rarely,,Research & Development,6,Technical Degree,630,Male,78,2,Research Scientist,1,Divorced,5577,1,12,3,18,3,10,6,37%,low,2035
49,0,Travel_Rarely,,Research & Development,18,Life Sciences,638,Male,58,5,Research Director,3,Divorced,19502,1,17,3,31,3,31,0,10%,low,2004
34,0,Travel_Rarely,,Research & Development,1,Life Sciences,683,Male,42,1,Research Scientist,4,Married,2691,0,12,3,10,2,10,8,38%,low,2029
33,1,Travel_Rarely,,Research & Development,1,Other,780,Male,63,1,Research Scientist,4,Single,2686,1,13,3,10,2,10,7,90%,low,2002
33,0,Travel_Rarely,,Research & Development,7,Medical,817,Male,49,3,Research Director,3,Married,11691,0,11,3,14,4,13,3,44%,low,2030
53,0,Travel_Rarely,,Research & Development,23,Life Sciences,901,Female,72,4,Research Director,4,Single,14275,0,18,3,33,3,12,3,36%,low,2029
49,0,Travel_Rarely,,Research & Development,8,Other,944,Female,51,3,Laboratory Technician,2,Married,7403,0,11,3,29,2,26,1,31%,low,2025
35,0,Travel_Rarely,,Sales,3,Life Sciences,984,Male,92,3,Sales Executive,4,Divorced,7823,0,13,3,12,3,10,0,10%,low,2022
38,0,Travel_Rarely,,Research & Development,17,Life Sciences,1088,Female,65,3,Healthcare Representative,3,Married,8823,0,18,3,20,2,19,1,42%,low,2003
46,0,Travel_Rarely,,Sales,3,Marketing,1124,Male,52,4,Manager,3,Married,17465,0,12,3,23,3,12,4,74%,low,2006
36,0,Non-Travel,,Research & Development,18,Life Sciences,1133,Male,78,2,Manufacturing Director,4,Single,7779,0,20,4,18,3,11,0,73%,low,2033
42,1,Travel_Frequently,,Sales,12,Life Sciences,1167,Male,44,4,Sales Executive,1,Single,13758,1,12,3,22,2,21,13,9%,low,2039
34,0,Travel_Frequently,,Research & Development,1,Medical,1184,Male,97,2,Healthcare Representative,1,Single,5343,0,20,4,14,3,13,4,45%,low,2030
30,0,Travel_Rarely,,Research & Development,1,Medical,1241,Male,63,1,Research Scientist,2,Married,3579,1,21,4,12,3,11,5,11%,low,2013
54,0,Travel_Rarely,,Research & Development,3,Life Sciences,1250,Male,85,4,Research Director,4,Married,17779,0,14,3,36,3,10,0,37%,low,2038
31,0,Travel_Rarely,,Research & Development,24,Medical,1252,Female,96,2,Healthcare Representative,1,Single,6812,0,19,3,10,3,10,1,84%,low,2017
44,0,Travel_Rarely,,Sales,5,Marketing,1267,Male,88,5,Manager,2,Married,18213,0,11,3,26,3,22,3,41%,low,2040
55,0,Non-Travel,,Research & Development,8,Medical,1278,Male,37,4,Healthcare Representative,2,Divorced,13577,1,15,3,34,3,33,15,76%,low,2036
44,0,Travel_Rarely,,Research & Development,4,Life Sciences,1288,Male,92,5,Manager,1,Divorced,19190,0,14,3,26,2,25,14,11%,low,2023
34,0,Travel_Frequently,,Human Resources,11,Life Sciences,1289,Male,56,2,Human Resources,2,Married,4490,0,11,3,14,4,10,1,84%,low,2024
39,0,Travel_Rarely,,Research & Development,13,Medical,1307,Female,94,4,Manager,2,Divorced,17123,1,13,3,21,3,19,15,39%,low,2009
55,0,Travel_Rarely,,Research & Development,2,Medical,1336,Female,58,5,Manager,3,Married,19187,0,14,3,23,3,19,9,11%,low,2021
51,0,Travel_Rarely,,Human Resources,5,Life Sciences,1352,Male,84,4,Manager,2,Divorced,14026,1,11,3,33,3,33,0,45%,low,2011
58,1,Travel_Rarely,,Research & Development,7,Medical,1360,Female,53,3,Manufacturing Director,1,Married,10008,1,14,3,31,2,10,5,37%,low,2021
48,0,Travel_Rarely,,Research & Development,4,Life Sciences,1363,Male,54,3,Manufacturing Director,4,Single,7898,0,11,3,11,3,10,0,40%,low,2034
29,0,Travel_Rarely,,Human Resources,17,Other,1419,Male,51,3,Human Resources,1,Single,7988,0,13,3,10,2,10,0,39%,low,2028
34,0,Travel_Rarely,,Sales,3,Other,1478,Male,81,2,Sales Executive,1,Single,4759,0,18,3,15,3,13,3,11%,low,2034
42,0,Travel_Frequently,,Research & Development,9,Medical,1480,Female,74,1,Laboratory Technician,4,Single,3673,0,13,3,12,3,12,5,83%,low,2005
57,0,Travel_Rarely,,Research & Development,1,Life Sciences,1483,Male,93,2,Research Scientist,3,Married,4900,0,24,4,13,2,12,2,11%,low,2036
34,1,Travel_Rarely,,Sales,24,Medical,1489,Female,40,2,Sales Executive,2,Single,4599,1,23,4,16,4,15,10,39%,low,2028
54,0,Travel_Frequently,,Research & Development,11,Medical,1520,Female,87,4,Manager,4,Divorced,16032,0,20,4,26,3,14,1,45%,low,2022
34,0,Travel_Rarely,,Sales,1,Technical Degree,1535,Male,64,3,Sales Executive,3,Married,7083,1,14,3,10,3,10,8,10%,low,2021
29,0,Travel_Rarely,,Research & Development,3,Medical,1586,Male,87,1,Laboratory Technician,1,Single,4723,1,18,3,10,3,10,1,90%,low,2028
35,0,Travel_Rarely,,Research & Development,28,Life Sciences,1596,Male,46,2,Laboratory Technician,3,Married,3407,0,17,3,10,2,10,6,45%,low,2003
35,1,Travel_Frequently,,Sales,12,Other,1667,Male,36,2,Sales Executive,4,Single,4581,1,24,4,13,4,11,6,79%,low,2025
34,0,Travel_Rarely,,Research & Development,19,Life Sciences,1701,Female,35,1,Research Scientist,4,Married,2929,0,12,3,10,3,10,8,90%,low,2013
43,0,Travel_Rarely,,Sales,2,Medical,1706,Male,73,2,Sales Executive,4,Married,7847,1,17,3,10,3,10,8,11%,low,2012
58,0,Non-Travel,,Sales,2,Medical,1824,Male,52,4,Manager,2,Divorced,16291,0,22,4,37,2,16,14,43%,low,2004
36,0,Travel_Rarely,,Sales,10,Technical Degree,1880,Female,63,2,Sales Executive,3,Married,5673,1,13,3,10,3,10,1,31%,low,2004
43,0,Travel_Rarely,,Research & Development,11,Life Sciences,1971,Male,30,3,Healthcare Representative,3,Married,7510,0,17,3,10,3,10,0,32%,low,2028
55,0,Travel_Rarely,,Human Resources,26,Human Resources,1973,Male,71,5,Manager,2,Married,19636,1,18,3,35,3,10,1,45%,low,2004
42,0,Non-Travel,,Research & Development,23,Life Sciences,1976,Male,37,2,Research Scientist,3,Single,4332,0,12,3,20,3,20,3,81%,low,2013
40,0,Travel_Frequently,,Research & Development,11,Technical Degree,1985,Female,73,2,Laboratory Technician,3,Married,6323,0,11,3,10,4,10,9,41%,low,2040
56,1,Travel_Rarely,,Research & Development,7,Technical Degree,2032,Male,72,1,Laboratory Technician,3,Married,2339,0,11,3,14,1,10,9,11%,low,2018
39,0,Travel_Rarely,,Sales,24,Marketing,2056,Female,60,4,Sales Executive,4,Married,12031,0,11,3,21,2,20,9,10%,low,2023
53,0,Travel_Rarely,,Sales,2,Life Sciences,23,Female,78,4,Manager,4,Married,15427,0,16,3,31,3,25,3,70%,low,2003
27,0,Travel_Frequently,,Sales,8,Life Sciences,56,Male,37,3,Sales Executive,3,Single,8726,0,15,3,9,3,9,1,54%,low,2007
30,0,Travel_Frequently,,Research & Development,1,Medical,57,Female,58,2,Laboratory Technician,4,Single,4011,0,23,4,12,3,12,3,41%,low,2020
35,0,Travel_Frequently,,Sales,18,Life Sciences,74,Male,71,3,Sales Executive,1,Married,9069,0,22,4,9,2,9,1,38%,medium,2028
32,0,Travel_Rarely,,Research & Development,1,Medical,78,Male,33,2,Manufacturing Director,4,Married,6162,1,22,4,9,3,9,7,37%,medium,2025
30,0,Travel_Rarely,,Research & Development,1,Life Sciences,104,Male,55,2,Laboratory Technician,4,Married,5126,1,12,3,10,2,10,3,11%,medium,2019
46,1,Travel_Rarely,,Sales,9,Medical,118,Male,64,3,Sales Executive,4,Single,9619,0,16,3,9,3,9,4,40%,medium,2010
30,0,Travel_Rarely,,Sales,4,Medical,121,Female,63,2,Sales Executive,2,Divorced,5209,1,12,3,11,2,11,2,10%,medium,2011
32,0,Travel_Rarely,,Sales,6,Medical,125,Male,87,2,Sales Executive,3,Single,5010,0,16,3,12,3,11,5,89%,medium,2017
35,0,Travel_Rarely,,Sales,1,Marketing,204,Male,94,3,Sales Executive,2,Married,7295,0,13,3,10,3,10,0,11%,medium,2001
